,title,summary,detailed_description,facility_name,facility_address,status,source
55,Identifying Critically-ill Patients With COVID-19 Who Will Benefit Most From Nutrition Support Therapy: Validation of the NUTRIC Nutritional Risk Assessment Tool (COV_NUTRIC)," There was an interaction between mortality, nutritional intake and the Nutrition Risk in Critically ill (NUTRIC) score suggesting that those with higher NUTRIC scores benefited the most from increasing nutritional intake. Yet limited data were in Chinese patients. The current outbreak of novel coronavirus, named COVID-19, was first reported from Wuhan, China on Dec ember 31 , 2019. There are about 16% patients need ICU admission. The objective of this study is to validation of the NUTRIC"" nutritional risk assessment tool in Chinese ICU patients diagnosed as COVID-19. """," Heyland et al. previously proposed a novel scoring tool, the Nutrition Risk in Critically ill (NUTRIC) score, which is the first nutritional risk assessment tool developed and validated specifically for intensive care unit (ICU) patients. Many other risk scores and assessment tools exist to quantify nutrition risk but none have been specifically designed for ICU patients. Indeed, they generally consider all critically ill patients to be at high nutritional risk. However, the recognition that not all ICU patients will respond the same to nutritional interventions was the critical concept behind the NUTRIC score. There was an interaction between mortality, nutritional intake and NUTRIC score suggesting that those with higher NUTRIC scores benefited the most from increasing nutritional intake. However, the inferences about the validity of the NUTRIC score are limited in Chinese patients because of no data. The current outbreak of novel coronavirus was first reported from Wuhan, China on Dec ember 31 , 2019 . This virus was named as 2019 nCoV by World Health Organization ( on Jan uary 12 , 2020). Following the advice of the Emergency Committee, the WHO declared the outbreak of 2019 nCoV a Public Health Emergency of International Concern . Patients show fever and / or respiratory symptoms, with the imaging characteristics of pneumonia, and other symptoms include hemoptysis muscle pain, headache, confusion, chest pain, and diarrhea. About 16% patients need ICU admission. The objective of this study is to validation of the NUTRIC"" nutritional risk assessment tool in Chinese ICU patients diagnosed as COVID-19. This is a single-center, prospective cohort study of ICU patients with COVID-19. Data for all variables of the NUTRIC score will be collected. These include age, APACHE II score, SOFA score, number of co-morbidities, days from hospital admission to ICU admission. A logistic model including the NUTRIC score, the nutritional adequacy and their interaction will be estimated to assess if the NUTRIC score modified the association between nutritional adequacy and 28-day mortality. """,,,Not yet recruiting,Peking University Third Hospital
56,"A Prospective, Randomized, Open, Parallel Controlled, Multicenter Clinical Study of Xiyanping Injection in Combination With Conventional Treatment for the Evaluation of the Effectiveness and Safety of Novel Coronavirus Infection Pneumonia"," the investigators conduct a randomized, open-label trial to evaluate and compare the safety and efficacy of Xiyanping injection in patients with 2019-nCoV pneumonia. ",,,,Not yet recruiting,Jiangxi Qingfeng Pharmaceutical Co. Ltd.
57,"An Open-label Randomized Controlled Trial on Lopinavir/ Ritonavir, Ribavirin and Interferon Beta 1b Combination Versus Lopinavir/ Ritonavir Alone, as Treatment for 2019 Novel Coronavirus Infection"," A combination of lopinavir/ ritonavir, ribavirin and interferon beta-1b will expedite the recovery, suppress the viral load, shorten hospitalisation and reduce mortality in patients with 2019-n-CoV infection compared with to lopinavir/ ritonavir "," Hypothesis A combination of lopinavir/ ritonavir, ribavirin and interferon beta-1b will expedite the recovery, suppress the viral load, shorten hospitalisation and reduce mortality in patients with 2019-n-CoV infection compared with to lopinavir/ ritonavir alone Primary objective: To evaluate the safety and efficacy in mortality reduction with a combination of lopinavir/ ritonavir, ribavirin and interferon beta-1b in the treatment of patient hospitalised for 2019-n-CoV infection and compare this to lopinavir/ ritonavir alone Subject/patient definition: Recruited subjects include adult patients ≥18 years of age, admitted to the HA Hospitals from February 2020 onwards, with laboratory confirmed 2019-n-CoV infection. All subjects give written informed consent. Subjects must be available to complete the study and comply with study procedures. Study design: This is a prospective open-label randomised controlled trial among adult patients hospitalised after February 2020 for virologically confirmed 2019-n-CoV infection. Patients will be randomly assigned to either a 14-day course of lopinavir/ ritonavir 400mg/100mg twice daily, ribavirin 400mg bd and zero to three doses of subcutaneous injection of interferon beta-1b 1mL (0.25mg, 8 million IU) on day 1, 3 and 5 (depending on day of admission from symptoms onset) plus standard care, or a 14-day course of lopinavir/ ritonavir 400mg/100mg twice daily plus standard care alone (2:1). Intervention/study article: lopinavir/ ritonavir, ribavirin and interferon beta-1b Primary outcome: Time to negative nasopharyngeal swab (NPS) 2019-n-CoV coronavirus viral RT-PCR Secondary outcome: 1. Time to negative saliva 2019-n-CoV coronavirus viral RT-PCR 2. Time to clinical improvement of NEWS2 (National Early Warning Score 2) of 0 maintained for 24 hours 3. Length of hospitalisation 4. Adverse events during treatment 5. 30-day mortality 6. Cytokine/ chemokine changes ","University of Hong Kong, Queen Mary Hospital","Hong Kong, Hong Kong",Recruiting,The University of Hong Kong
58,Study on Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations in Patients, Outbreak of 2019 Novel Coronavirus infection quickly spread to the world. Confirmed patients were isolated and treated in our department. 2019 Novel Coronavirus was detected in multiple organ system. Clinical data was recorded to investigate the its relationship with viral detection. ," Medical date of suspected patients of 2019 Novel Coronavirus infection, who came to outpatient department of the Third Affiliated Hospital of Sun Yat-sen University, were sent to an expert group if they met the inclusion criteria. The expert group discussed and made a decision if the patient would be admission to isolation unit. Pharyngeal swabs of the patients were obtained and sent to local Center for Disease Control and Prevention (CDC) for detection the 2019 Novel Coronavirus after patients were admission to isolation unit. Diagnosis of 2019 Novel Coronavirus infection was confirmed if the result was positive or excluded if two consecutive results were negative. Patients' demographic data and clinical characteristics were recorded. Clinical characteristics including epidemiological history, past history, personal history, symptoms, signs, blood cells count, biochemical test results, chest computed tomography (CT) images. 2019 Novel Coronavirus RNA was detected in pharyngeal swab, anal swab, urine and blood samples by using quantitative real-time polymerase chain reaction (qPCR). Comprehensive treatments were given to the patients. ",The Third Affiliated Hospital of Sun Yat-sen University,"Guangzhou, China",Recruiting,"Third Affiliated Hospital, Sun Yat-Sen University"
59,Clinical Investigation of Natural Killer Cells Treatment in Pneumonia Patients Infected With 2019 Novel Coronavirus," Since december 2019, acute respiratory disease due to 2019 novel coronavirus (2019-nCoV) emerged in Wuhan city and rapidly spread throughout China. There is no confirmed antivirus therapy for 2019-nCoV infection. Natural killer (NK) cells are innate lymphocytes that may serve as useful effectors against danger infection. The purpose of this clinical investigation is to evaluate the safety and efficiency of NK Cells in combination with standard therapy for pneumonia patients infected with 2019-nCoV. ",,The First Affiliated Hospital of Xinxiang Medical University,"Xinxiang, China",Recruiting,Xinxiang medical university
60,Efficacy of Fingolimod in the Treatment of New Coronavirus Pneumonia (COVID-19)," Although immune-inflammatory treatment is not routinely recommended to be used for SARS-CoV-2 pneumonia, according to the pathological findings of pulmonary oedema and hyaline membrane formation, timely and appropriate use of immune modulator together with ventilator support should be considered for the severe patients to prevent ARDS development. The sphingosine-1-phosphate receptor regulators Fingolimod (FTY720) is an effective immunology modulator which has been widely used in multiple sclerosis.The aim of this study was to determine whether the efficacy of fingolimod for a novel coronavirus disease (COVID-19). ",,Wan-Jin Chen,"Fuzhou, China",Recruiting,First Affiliated Hospital of Fujian Medical University
61,"A Multicenter, Adaptive, Randomized Blinded Controlled Trial of the Safety and Efficacy of Investigational Therapeutics for the Treatment of COVID-19 in Hospitalized Adults"," This study is an adaptive, randomized, double-blind, placebo-controlled trial to evaluate the safety and efficacy of novel therapeutic agents in hospitalized adults diagnosed with COVID-19. The study is a multicenter trial that will be conducted in up to approximately 75 sites globally. The study will compare different investigational therapeutic agents to a control arm. There will be interim monitoring to introduce new arms and allow early stopping for futility, efficacy, or safety. If one therapy proves to be efficacious, then this treatment may become the control arm for comparison(s) with new experimental treatment(s). Any such change would be accompanied by an updated sample size. Because background standards of supportive care may evolve/improve over time as more is learned about successful management of COVID-19, comparisons of safety and efficacy will be based on data from concurrently randomized subjects. An independent data and safety monitoring board (DSMB) will actively monitor interim data to make recommendations about early study closure or changes to study arms. Subjects will be assessed daily while hospitalized. Discharged subjects will be asked to attend study visits at Days 15 and 29. All subjects will undergo a series of efficacy, safety, and laboratory assessments. The primary objective of the study is to evaluate the clinical efficacy of different investigational therapeutics relative to the control arm in adults hospitalized with COVID-19. "," This study is an adaptive, randomized, double-blind, placebo-controlled trial to evaluate the safety and efficacy of novel therapeutic agents in hospitalized adults diagnosed with COVID-19. The study is a multicenter trial that will be conducted in up to approximately 75 sites globally. The study will compare different investigational therapeutic agents to a control arm. There will be interim monitoring to introduce new arms and allow early stopping for futility, efficacy, or safety. If one therapy proves to be efficacious, then this treatment may become the control arm for comparison(s) with new experimental treatment(s). Any such change would be accompanied by an updated sample size. Because background standards of supportive care may evolve/improve over time as more is learned about successful management of COVID-19, comparisons of safety and efficacy will be based on data from concurrently randomized subjects. An independent data and safety monitoring board (DSMB) will actively monitor interim data to make recommendations about early study closure or changes to study arms. The initial sample size is calculated to be approximately 440 subjects, and if any additional therapeutic arms are added, the sample size will be recalculated. Subjects will be assessed daily while hospitalized. Discharged subjects will be asked to attend study visits at Days 15 and 29. All subjects will undergo a series of efficacy, safety, and laboratory assessments. The primary objective of the study is to evaluate the clinical efficacy of different investigational therapeutics relative to the control arm in adults hospitalized with COVID-19. The secondary objectives of the study are to 1) evaluate the clinical efficacy of different investigational therapeutics as compared to the control arm as assessed by clinical severity, hospitalization, and mortality, and 2) evaluate the safety of different investigational therapeutics as compared to the control arm. ",National Centre for Infectious Diseases (NCID),"Singapore, Singapore",Recruiting,National Institute of Allergy and Infectious Diseases (NIAID)
62,"A Randomized, Open-label Study to Evaluate the Efficacy and Safety of Pirfenidone in Patients With Severe and Critical Novel Coronavirus Infection"," The acute lung injury caused by SARS and 2003 were both related to the inflammatory cytokine storm in patients. The biochemical test showed abnormal increase in related indicators such as interleukin-8, and CT images showed a medical white"" lung"". According to the experience of SARS treatment in 2003, the use of hormones will indeed help the patients to alleviate their illness, but patients who survived SARS either had too much hormone at that time and took too long. Although the lungs could recover, but the femoral head was necrotic Either the amount of hormones was very conservative at the time, which kept the lungs in the storm of inflammatory factors, leading to the emergence of irreversible pulmonary fibrosis. So is there a medicine that can anti-inflammatory, reduce the load of hormone use, and have the effect of treating and preventing pulmonary fibrosis complicated by severe viral lung? At present, pirfenidone has achieved encouraging results in the treatment of idiopathic Pulmonary Fibrosis (CTD-ILD) diseases. It is particularly encouraging that the values announced at the 2019 ATS Annual Conference suggest that pirfenidone has more anti-inflammatory and anti-oxidant effects than its own outstanding anti-fibrotic ability. The data shows early use, Its strong anti-SOD activity can effectively inhibit IL-1beta and IL-4, and can open the prevention mode of pulmonary interstitial fibrosis. Based on the above, this project intends to make the following scientific assumptions: based on the homology of the pathogens of the new coronavirus-infected pneumonia and the coronavirus infection of pneumonia in 2003, the similarities in the occurrence and development of the disease, that is, the pulmonary inflammatory storm occurs first, and thereafter The progress of fibrosis and the progressive decline of lung function and mortality are higher than those of ordinary pneumonia. We hope that by adding pirfenidone as a treatment program in addition to standard treatment, it will be a new and severe type of coronavirus infection. Patient clinical treatment provides an effective and practical method. """," This study is a multi-center, randomized, open, blank-controlled, multi-stage clinical study. As there are no effective treatments, the project team will evaluate possible treatments (including but not limited to Pirfenidone) based on actual conditions. Ketone, Pirfenidone, lopinavir / ritonavir, remdesivir, single / polyclonal antibodies against coronavirus), explore the most effective treatment options. The first phase will assess the efficacy and safety of approximately 147 (primarily estimated) hospitalized adult patients diagnosed with Wuhan new coronavirus infection in the pirfenidone-treated group compared to standard treatment. Patients with influenza within 14 days of onset of symptoms were screened and randomly assigned as soon as possible after screening (within 4 day). Patients will be allocated in a 1: 1 ratio and divided into the pirfenidone treatment group or the standard treatment group only. Patients who do not meet the inclusion and exclusion criteria are only allowed to be re-screened once, provided that the time from onset of symptoms to randomization remains within 14days. This study planned to randomize approximately 147 adult subjects. They will be stratified according to whether the onset time is ≤ 14 days and randomly divided into groups of 1: 1, receiving standard treatment or pirfenidone orally 3 times a day, 2 tablets each time. The course is 4 weeks or more. Subjects and all research center staff were not blinded. Study selection criteria: (1) Age ≥ 18 years. (2) Clinically diagnosed patients with new type of coronavirus pneumonia include: on the basis of meeting the criteria for suspected cases, one of the following pathogenic evidence: ① real-time fluorescent RT-PCR of respiratory specimens or blood specimens for detection of new coronavirus nucleic acid, Respiratory or blood specimens are genetically sequenced and highly homologous to known new coronaviruses. (3) The time interval between the suspected neocoronary pneumonia pneumonia case and the random enrollment is determined within 4 days to 7 days according to the history symptoms and chest CT imaging. Cough, diarrhea, or other related symptoms can be used. The imaging changes are mainly based on chest CT. Study exclusion criteria: (1) AST and ALT> 1.5 x ULN at visit 1, (2) bilirubin> 1.5 x ULN at visit 1, (3) Cockcroft-Gault formula at visit 1 Calculated creatinine clearance rate <30 mL / min, (4) patients with potential chronic liver disease (Child Pugh A, B or C liver injury, (5) previous treatment with nidanib or pirfenidone, Screening visit (Visit 1) 1 month or 6 half-life (whichever is greater) received other research drug treatment, (7) Based on ATS / ERS / JRS / ALAT 2011 guidelines (P11-07084) IPF diagnosis, (8) Obvious pulmonary hypertension (PAH) defined by any of the following standards: ① Clinical / echocardiographic evidence of previously obvious right heart failure, ② Medical history including right heart catheter showing a heart index ≤ 2l / min / m2, ③ required Parenteral administration of epoprostenol / treprostinil for the treatment of PAH, (9) other clinically significant pulmonary abnormalities considered by the investigator, (10) major extrapulmonary physiological limitations (such as chest wall deformities, large amounts Pleural effusion), (11) cardiovascular disease, any of the following diseases: ① severe hypertension within 6 months of visit 1, treatment Uncontrollable (≥160 / 100 mmHg), ② myocardial infarction within 6 months of visit 1, ③ unstable angina within 6 months of visit 1, (12) history of severe central nervous system (CNS) events, (13) Known allergies to the test drug, (14) Other diseases that may interfere with the testing process or judged by the investigator may interfere with the trial participation or may put the patient at risk when participating in the trial, (15) pregnancy, Women who are breastfeeding or planning a pregnancy, (16) Patients are unable to understand or follow the test procedures, including completing the questionnaires themselves without help. Study design primary and secondary endpoints Main endpoints: (1) Absolute changes in baseline lesion area, finger pulse oxygen, and blood gas from baseline at 4 weeks of chest CT images, (2) Total score of King's Interstitial Lung Disease Short Questionnaire (K-BILD) at Week 4 Absolute change from baseline. Secondary end point: Time to death within 4 weeks due to respiratory causes, time to disease progression or death within 4 weeks, recovery of blood routine lymphocytes at week 4, and blood inflammation indicators at week 4 ( IL-8, etc.), at week 4, absolute changes in viral nucleic acid from baseline, at week 4, pulmonary fibrosis survival symptoms dyspnea scores absolute changes from baseline, at week 4, pulmonary fibrosis survival Symptoms of cough scores are absolute changes from baseline. ",Tongji hospital affiliated to huazhong university of science and technology,"Wuhan, China",Recruiting,Tongji Hospital
63,Clinical Outcomes of Hospitalized Patients With Coronavirus Disease 2019," As of February 17th, 2020, China has 70635 confirmed cases of coronavirus disease 2019 (COVID-19), including 1772 deaths. Human-to-human spread of virus via respiratory droplets is currently considered to be the main route of transmission. The number of patients increased rapidly but the impact factors of clinical outcomes among hospitalized patients are still unclear. ",,HuiZhou Municipal Central Hospital,"Huizhou, China",Withdrawn,Guangzhou Institute of Respiratory Disease
64,Identification of a New Screening Strategy for 2019 Novel Coronavirus Infection," Since Dec 2019, over 70000 novel coronavirus infection pneumonia (NCIP) patients were confirmed. 2019 novel coronavirus (2019 nCoV) is a RNA virus, which spread mainly from person-to-person contact. Most of the symptoms are non-specific, including fever, fatigue, dry cough. Sever NCIP patients may have shortness of breath and dyspnea, and progress to acute respiratory distress syndrome (ARDS) and multiple organ dysfunction syndrome (MODS). The mortality is reported to be around 2.3%. Thus, early detection and early treatment is very important to the improvement of NCIP patients' prognosis. At present, NCIP RNA detection of pharyngeal swab specimen by RT-PCR is recommended. However, due to the universal susceptibility to 2019 nCoV in general population and limited number of NCIP RNA detection kits available, to identify an efficient screening strategy is urgently needed. This study aim to develop and validate the diagnostic accuracy and screening efficiency of a new NCIP screening strategy, which can benefit the disease prevention and control. "," This clinical trial is designed to compare the screen accuracy and efficiency of two screening strategies. Considering that the general population is susceptible to 2019 nCoV, a great number of people need to be screened for NCIP. The new screening strategy of minipool testing may not only obtain a comparable accuracy to the standard individual testing, but also save time and money, which may benefit the current clinical practice. ",the Fifth Medical Center of Chinese PLA General Hospital,"Beijing, China",Not yet recruiting,Affiliated Hospital to Academy of Military Medical Sciences
65,The Therapeutic Efficacy of Psychological and Physical Rehabilitation Based Humanistic Care in Patients With Coronavirus Disease 2019," As of February 17th, 2020, China has 76396 confirmed cases of coronavirus disease 2019 (COVID-19), including 2348 deaths. Although the impact factors of clinical outcomes among hospitalized patients still need to be clarified, some of the therapeutic regimens have shown the potency in the treatment of severe cases. Investigators aim to evaluate the efficacy of psychological and physical rehabilitation based humanistic care in the treatment of COVID-2019. "," As of February 17th, 2020, China has 76396 confirmed cases of coronavirus disease 2019 (COVID-19), including 2348 deaths. Although the impact factors of clinical outcomes among hospitalized patients still need to be clarified, some of the therapeutic regimens have shown their potency in the treatment of severe cases. Investigators aim to evaluate the efficacy of psychological and physical rehabilitation based humanistic care in the treatment of COVID-2019. As the national medical team sent to Wuhan, investigators proposed a Psychological and physical rehabilitation based humanistic care regimen generated from our experience in treating patients with COVID-2019. In addition to routine therapy, investigators will apply this comprehensive humanistic care regimen to the patients according to their condition to see the efficacy to this regimen. ",,,Withdrawn,Second Affiliated Hospital of Xi'an Jiaotong University
66,A Clinical Study to Investigate the Effect of T89 on Improving Oxygen Saturation and Clinical Symptoms in Patients With Coronavirus Disease 2019 (COVID-19)," This is an open-label, randomized, blank-controlled treatment clinical study. The objective of this study is to investigate the effect of T89 on improving oxygen saturation and clinical symptoms in patients with Coronavirus Disease 2019 (COVID-19). In this study, estimated total of 120-240 male and female patients who have been diagnosed with non-critical type of coronavirus pneumonia (COVID-19) will be enrolled and randomly assigned to one of two study groups, the T89 treatment group and the blank control group, to T89 or nothing on the base of a recommended standard treatment for up to 14 days . The primary efficacy parameters include the time to oxygen saturation recovery to normal level (≥97%), the proportion of patients with normal level of oxygen saturation after treatment, and the total duration of oxygen inhalation, oxygen flow change by time, oxygen concentration change by time during treatment. "," The breakout of a new type of coronavirus (SARS-CoV-2) begun in Wuhan of Hubei province in China in December 2019, and as a result of its rapid spreading nationwide, as of February 16, 2020, a large number of people up to 68,500 totally in China were diagnosed with a new type of disease of Coronavirus Disease 2019 (COVID-19) and 1665 peoples were died due to this disease in China. Based on the recent epidemiological investigation, the incubation period of this new coronavirus is 1-14 days and 3-7 days for most people before they show any symptom, such as fever, fatigue and dry cough that are the main clinical symptoms a few patients will also show nasal congestion, runny nose, sore throat and diarrhea and other symptoms. Severe patients often have dyspnea and/or hypoxemia 1 week after onset of the disease, and the rapid progression for these patients include acute respiratory distress syndrome, septic shock, refractory metabolic acidosis and coagulation dysfunction. According to the Guidance of Diagnosis and Treatment for Patients with Coronavirus Disease 2019 (COVID-19) (Procedural Version 5 Amendment)"" recently issued by National Health Commission of the People's Republic of China, the general treatment will include close monitoring vital signs and oxygen saturation at finger, additionally, monitoring routine blood test, routine urine test, coagulation function, arterial blood gas analysis based on individual condition, and providing effective oxygen inhalation treatment (including nasal catheter, mask oxygen supply and transnasal high flow oxygen therapy) in time. T89 have the effects of activating blood circulation and removing blood stasis, regulating Qi and relieving pain. Four clinical trials conducted in China and abroad have shown that T89 can effectively alleviate the clinical symptoms of acute high altitude reaction, improve blood oxygen saturation, significantly increase the exercise time in treadmill and metabolic equivalents of task and enhance exercise tolerance under hypoxic environment. Modern pharmacological and gene network-based studies have shown that T89 can improve the oxygen carrying capacity of red blood cells, increase oxygen saturation, effectively reduce the injury of major organs such as heart, brain, lung and kidney caused by hypoxia, and prevent the decrease of oxygen saturation by improving the energy metabolism disorder caused by hypoxia. At the same time, T89 can inhibit the reduction of hematocrit, albumin leakage, neutrophil CD18 and adhesion factor of endothelial cells (ICAM-1), by which T89 has a good therapeutic effect on microcirculation disorders caused by many diseases. In conclusion, T89 can improve the ability of carrying oxygen of red blood cells, increase the oxygen saturation, effectively reduce the injury of heart, brain, lung and kidney and other major organs caused by hypoxia, and it can significantly improve the microcirculation disorder. At the same time, in the ""Guidance for the Diagnosis and Treatment of Infectious Atypical Pneumonia (Severe Acute Respiratory Syndromes, SARS) P (2003 edition)"" has also recommended T89 can be used as a traditional Chinese patent medicine to treat patients of advanced stage and severe SARS lung asthma syndrome by its effect of promoting blood circulation and removing blood stasis. In conclusion, T89 can improve the oxygen saturation and the clinical symptoms of patients with Coronavirus Disease 2019 (COVID-19), as a result, there may be some benefits for these patients to use T89 in current clinical treatment. This exploratory treatment clinical study is to investigate the effect of T89 on improving oxygen saturation and clinical symptoms in patients with Coronavirus Disease 2019 (COVID-19), with the study design characterized by open-label, randomized and blank-control. In this study, an estimated total of 120-240 male and female patients aged 18-85 years old who have been diagnosed with coronavirus pneumonia (COVID-19), not including critical type in severity, will be enrolled and randomly assigned to one of two study groups, the T89 treatment group and the blank control group, to receive T89 or nothing for up to 14 days on the base of a standard treatment recommended by the""Guidance of Diagnosis and Treatment for Patients with Coronavirus Disease 2019 (COVID-19) (Procedural Version 5 Amendment) . As planned, this study will be started before March 2020 in hospitals located in Wuhan of Hubei province in China and completed at the end of next June 2020. """,,,Not yet recruiting,"Tasly Pharmaceuticals, Inc."
67,The Effect of Humanistic Care in Healthcare Workers Participated in the Treatment of Coronavirus Disease 2019," As of February 17th, 2020, China has 76396 confirmed cases of coronavirus disease 2019 (COVID-19), including 2348 deaths. The impact factors of clinical outcomes among hospitalized patients still need to be clarified. The healthcare workers faced greater mental and physical pressure under long-term, high-intensity, high-risk working conditions. Investigators aim to evaluate the positive effect of humanistic care for healthcare workers participated in the treatment of COVID-19. "," As of February 17th, 2020, China has 76396 confirmed cases of coronavirus disease 2019 (COVID-19), including 2348 deaths. As the national medical team sent to Wuhan, the investigators proposed a psychological and physical rehabilitation based humanistic care regimen generated from experience in treating patients with COVID-19. The healthcare workers faced greater mental and physical pressure under long-term, high-intensity, high-risk working conditions. The investigators want to apply this regimen to the healthcare workers who participated in the treatment of COVID-19, to evaluate the positive effect of humanistic care on preventing depression and post-traumatic stress disorder. ",,,Withdrawn,Second Affiliated Hospital of Xi'an Jiaotong University
68,"Phase I, Open-Label, Dose-Ranging Study of the Safety and Immunogenicity of 2019-nCoV Vaccine (mRNA-1273) in Healthy Adults"," This is a phase I, open-label, dose ranging clinical trial in males and non-pregnant females, 18 to 55 years of age, inclusive, who are in good health and meet all eligibility criteria. This clinical trial is designed to assess the safety, reactogenicity and immunogenicity of mRNA-1273 manufactured by ModernaTX, Inc. mRNA-1273 is a novel lipid nanoparticle (LNP)-encapsulated mRNA-based vaccine that encodes for a full-length, prefusion stabilized spike (S) protein of 2019-novel coronavirus (nCoV). Enrollment will occur at one domestic site. Forty-five subjects will be enrolled into one of three cohorts and will receive an intramuscular (IM) injection of mRNA-1273 on Days 1 and 29 in the deltoid muscle. Subjects will be followed through 12 months post second vaccination (Day 394). The primary objective is to evaluate the safety and reactogenicity of a 2-dose vaccination schedule of mRNA-1273, given 28 days apart, across 3 dosages in healthy adults. "," This is a phase I, open-label, dose ranging clinical trial in males and non-pregnant females, 18 to 55 years of age, inclusive, who are in good health and meet all eligibility criteria. This clinical trial is designed to assess the safety, reactogenicity and immunogenicity of mRNA-1273 manufactured by ModernaTX, Inc. mRNA-1273 is a novel lipid nanoparticle (LNP)-encapsulated mRNA-based vaccine that encodes for a full-length, prefusion stabilized spike (S) protein of 2019-novel coronavirus (nCoV). Enrollment will occur at one domestic site. Forty-five subjects will be enrolled into one of three cohorts (25 microgram [mcg], 100 mcg, 250 mcg). Subjects will receive an intramuscular (IM) injection (0.5 milliliter [mL]) of mRNA-1273 on Days 1 and 29 in the deltoid muscle and will be followed through 12 months post second vaccination (Day 394). Follow-up visits will occur 1, 2 and 4 weeks post each vaccination (Days 8, 15, 29, 36, 43, and 57), as well as 3, 6 and 12 months post second vaccination (Days 119, 209 and 394). The primary objective is to evaluate the safety and reactogenicity of a 2-dose vaccination schedule of mRNA-1273, given 28 days apart, across 3 dosages in healthy adults. The secondary objective is to evaluate the immunogenicity as measured by IgG ELISA to the 2019-nCoV S protein following a 2-dose vaccination schedule of mRNA-1273 at Day 57. ",Kaiser Permanente Washington Health Research Institute - Vaccines and Infectious Diseases,"Seattle, United States",Recruiting,National Institute of Allergy and Infectious Diseases (NIAID)
69,Study for Clinical Epidemiology and Methods of Diagnosis and Treatment of Novel Coronavirus Pneumonia (NCP), To develop practical and effective clinical diagnosis and treatment schemes for the control of novel coronavirus pneumonia. ," By retrospectively analyzing the clinical epidemiological characteristics of the novel coronavirus pneumonia and the current diagnosis and treatment schemes, as well as in-depth analyzing the disease development process and outcome trends of NCP patients to develop practical and effective clinical diagnosis and treatment schemes and provide guarantee for the rapid control of the epidemic. ",Union hospital,"Wuhan, China",Recruiting,"Wuhan Union Hospital, China"
